nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
S,S01009871,39.491250065700285,24.0,19.0,27.48400810216083,2,3,11576.0,3,2
E,E01021506,27.483,32.800000000000004,13.100000000000001,27.483,3,3,11577.5,3,2
E,E01017257,27.483,22.5,14.6,27.483,3,3,11577.5,3,2
E,E01011908,27.482,24.8,14.799999999999999,27.482,3,3,11579.5,3,2
E,E01003305,27.482,31.8,15.5,27.482,3,3,11579.5,3,2
E,E01002057,27.479,37.3,16.5,27.479,3,3,11581.0,3,2
E,E01028038,27.477,26.8,15.6,27.477,3,3,11582.0,3,2
E,E01028992,27.476,23.200000000000003,18.4,27.476,3,3,11583.0,3,2
E,E01019810,27.475,23.9,18.4,27.475,3,3,11585.0,3,2
E,E01025271,27.475,30.9,19.6,27.475,3,3,11585.0,3,2
E,E01017913,27.475,32.7,13.5,27.475,3,3,11585.0,3,2
E,E01029783,27.473,28.1,18.7,27.473,3,3,11587.0,3,2
E,E01028339,27.471,30.2,19.3,27.471,3,3,11588.0,3,2
E,E01015156,27.47,22.3,13.0,27.47,3,3,11589.0,3,2
E,E01018756,27.467,17.4,12.3,27.467,3,3,11590.0,3,2
E,E01032456,27.466,27.400000000000002,15.2,27.466,3,3,11591.5,3,2
E,E01008605,27.466,32.6,20.3,27.466,3,3,11591.5,3,2
E,E01020037,27.464,34.4,20.0,27.464,3,3,11593.5,3,2
E,E01026067,27.464,28.199999999999996,17.8,27.464,3,3,11593.5,3,2
E,E01013782,27.463,26.1,12.3,27.463,3,3,11595.0,3,2
E,E01017901,27.456,34.1,16.7,27.456,3,3,11596.0,3,2
E,E01011085,27.455,33.800000000000004,20.1,27.455,3,3,11597.5,3,2
E,E01001278,27.455,34.300000000000004,14.099999999999998,27.455,3,3,11597.5,3,2
E,E01000043,27.454,30.099999999999998,13.100000000000001,27.454,3,3,11599.5,3,2
E,E01012750,27.454,24.3,18.7,27.454,3,3,11599.5,3,2
W,W01001765,35.7,24.0,13.0,27.453456894868665,2,3,11601.0,3,2
