nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01029703,10.463,8.9,5.5,13.299720715441898,8,7,30636.0,8,4
S,S01007822,15.359347349498702,11.0,6.0,13.299356632738775,6,7,30637.0,8,4
E,E01029761,10.496,6.6000000000000005,5.3,13.296631729789166,8,7,30638.0,8,4
E,E01007832,10.21,11.1,6.9,13.294447691681594,8,7,30639.0,8,4
S,S01010408,20.496751370635227,12.0,15.0,13.293925931148205,5,7,30640.0,8,4
E,E01006243,10.067,10.100000000000001,7.7,13.29335567262781,8,7,30641.5,8,4
E,E01014702,10.067,12.1,7.7,13.29335567262781,8,7,30641.5,8,4
E,E01034296,10.243,10.5,6.7,13.291358706028861,8,7,30643.0,8,4
E,E01022015,10.348,10.299999999999999,6.1,13.28942700088778,8,7,30644.0,8,4
E,E01016337,9.868,15.299999999999999,8.799999999999999,13.288950609251245,8,7,30645.0,8,4
E,E01034959,10.241,19.400000000000002,6.7,13.28891362208982,8,7,30646.0,8,4
E,E01028839,9.956,11.5,8.3,13.287952125951772,8,7,30647.0,8,4
E,E01029460,10.078,11.899999999999999,7.6,13.28508719896908,8,7,30648.0,8,4
E,E01002826,10.646,7.6,4.3999999999999995,13.284565107306143,8,7,30649.0,8,4
S,S01009151,14.777201663622948,9.0,5.0,13.283868548194214,6,7,30650.0,8,4
E,E01031475,10.165,11.3,7.1,13.282866173700086,8,7,30651.0,8,4
E,E01015335,9.774,12.3,9.3,13.2826138407336,8,7,30652.0,8,4
E,E01014061,9.915,16.7,8.5,13.281260775848343,8,7,30653.0,8,4
E,E01027309,9.914,9.2,8.5,13.280038233878823,8,7,30654.0,8,4
S,S01007015,14.200100905805868,5.0,4.0,13.275549969783086,6,7,30655.0,8,4
E,E01021025,10.443,10.0,5.5,13.275269876051496,8,7,30656.0,8,4
E,E01001300,10.283,9.3,6.4,13.27511107883932,8,7,30657.0,8,4
E,E01002575,10.496,7.3,5.2,13.274915294465716,8,7,30658.0,8,4
E,E01006923,9.661,9.5,9.9,13.274765210118519,8,7,30659.0,8,4
E,E01026993,10.336,7.3999999999999995,6.1,13.274756497253538,8,7,30660.0,8,4
E,E01025757,9.909,12.9,8.5,13.273925524031224,8,7,30661.0,8,4
E,E01009066,9.854,16.5,8.799999999999999,13.271835021677962,8,7,30662.0,8,4
S,S01011073,16.479438236209027,9.0,8.0,13.267518100623464,6,7,30663.0,8,4
E,E01019609,9.655,12.2,9.9,13.267429958301397,8,7,30664.0,8,4
E,E01027855,9.85,14.2,8.799999999999999,13.266944853799883,8,7,30665.0,8,4
E,E01012557,10.169,9.4,7.000000000000001,13.266039906254719,8,7,30666.0,8,4
E,E01020008,10.595,7.199999999999999,4.6,13.265648337507516,8,7,30667.0,8,4
E,E01012200,9.901,14.7,8.5,13.264145188275062,8,7,30668.0,8,4
E,E01029092,10.184,11.0,6.9,13.26266160047407,8,7,30669.0,8,4
E,E01009070,10.024,9.8,7.8,13.26250280326189,8,7,30670.0,8,4
E,E01033810,9.935,13.600000000000001,8.3,13.262278744591852,8,7,30671.0,8,4
E,E01020474,10.059,9.1,7.6,13.261858901548198,8,7,30672.0,8,4
E,E01021727,10.164,10.8,7.000000000000001,13.259927196407116,8,7,30673.0,8,4
E,E01015138,9.986,10.299999999999999,8.0,13.259479079067027,8,7,30674.0,8,4
S,S01012397,15.3300468476221,5.0,6.0,13.257716766823188,6,7,30675.0,8,4
E,E01020954,9.609,12.5,10.100000000000001,13.254625898350369,8,7,30676.0,8,4
E,E01008238,10.39,6.800000000000001,5.7,13.25390802231383,8,7,30677.0,8,4
