nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
E,E01017990,9.064,13.700000000000001,5.7,15.495080687304208,8,6,27421.0,7,4
S,S01009903,20.9532271587754,15.0,9.0,15.49453023384272,4,6,27422.0,7,4
E,E01024861,10.406,13.900000000000002,8.799999999999999,15.493001514989174,8,6,27423.0,7,4
E,E01022207,13.404,7.9,6.4,15.492219484353907,7,6,27424.0,7,4
E,E01025622,11.04,12.7,8.4,15.48872859020929,8,6,27425.0,7,4
S,S01012909,22.1458886811645,16.0,11.0,15.487342644555252,4,6,27426.0,7,4
E,E01014168,9.481,14.399999999999999,7.6,15.486854858443657,8,6,27427.0,7,4
S,S01011310,22.306964052799195,13.0,12.0,15.485703511724267,4,6,27428.0,7,4
E,E01033250,9.281,16.0,9.5,15.483902062958444,8,6,27429.0,7,4
E,E01026509,9.701,12.9,5.8999999999999995,15.482835386948514,8,6,27430.0,7,4
E,E01024746,12.463,8.0,4.6,15.480141854020209,7,6,27431.0,7,4
E,E01033528,9.405,14.499999999999998,7.6,15.479479003969228,8,6,27432.0,7,4
E,E01031368,11.179,13.8,10.299999999999999,15.478806042179015,7,6,27433.0,7,4
E,E01030019,11.008,12.8,8.5,15.477276575831443,8,6,27434.0,7,4
E,E01023417,9.769,13.900000000000002,7.5,15.476474846913714,8,6,27435.0,7,4
E,E01017504,13.181,9.1,7.7,15.47584929619221,7,6,27436.0,7,4
S,S01011832,18.58131441110617,9.0,6.0,15.475751994144087,5,6,27437.0,7,4
E,E01032046,10.946,15.1,11.700000000000001,15.47451258471699,8,6,27438.0,7,4
E,E01017010,11.765,12.6,9.8,15.474331323652093,7,6,27439.0,7,4
S,S01012508,22.422779056347817,14.0,12.0,15.473387774086138,4,6,27440.0,7,4
E,E01025167,14.043,5.7,4.6,15.470112453612769,7,6,27441.0,7,4
E,E01009726,11.213,12.7,8.799999999999999,15.46921548535776,7,6,27442.0,7,4
E,E01022562,10.693,11.1,5.4,15.469141374637424,8,6,27443.0,7,4
S,S01012294,20.43486981176657,11.0,9.0,15.467971771919435,5,6,27444.0,7,4
E,E01028773,11.663,12.6,9.6,15.467510805682334,7,6,27445.0,7,4
E,E01031848,12.796,7.5,4.6,15.466755170999456,7,6,27446.0,7,4
